,Car Name,Kilometers Driven,Fuel Type,Transmission Type,Price,City,Year,Brand
706,Maruti Suzuki Wagon R,"27,522 km",Petrol+CNG,Manual,Rs. 4.25 Lakh,Thane,2017,Maruti
707,Honda WR-V,"21,000 km",Petrol,Manual,Rs. 6.25 Lakh,Thane,2018,Honda
708,Maruti Suzuki Celerio,"31,527 km",Petrol,AMT,Rs. 3.9 Lakh,Thane,2014,Maruti
709,Honda BR-V,"40,995 km",Petrol,Manual,Rs. 7.25 Lakh,Thane,2017,Honda
710,Hyundai Venue,"33,000 km",Petrol,Manual,Rs. 9.25 Lakh,Thane,2019,Hyundai
711,Maruti Suzuki Swift DZire,"57,649 km",Petrol,Manual,Rs. 4.35 Lakh,Thane,2014,Maruti
712,Hyundai Xcent,0 km,Petrol,Manual,Rs. 4.75 Lakh,Thane,2015,Hyundai
713,Maruti Suzuki Swift,"7,00,000 km",Petrol,AMT,Rs. 5.85 Lakh,Thane,2018,Maruti
714,Maruti Suzuki Ciaz,"67,000 km",Petrol,Manual,Rs. 7.75 Lakh,Thane,2018,Maruti
715,Datsun Go Plus,"47,235 km",Petrol,Manual,Rs. 2.75 Lakh,Thane,2016,Datsun
716,Hyundai Elite i20,"70,000 km",Diesel,Manual,Rs. 4.8 Lakh,Thane,2016,Hyundai
717,Tata Tiago,"66,877 km",Petrol,AMT,Rs. 4.85 Lakh,Thane,2017,Tata
718,Tata Tigor,"5,340 km",Petrol,AMT,Rs. 6.15 Lakh,Thane,2018,Tata
719,Maruti Suzuki Ertiga,"80,000 km",Petrol+CNG,Manual,Rs. 7.5 Lakh,Thane,2016,Maruti
720,Maruti Suzuki Vitara Brezza,"26,419 km",Diesel,AMT,Rs. 9.15 Lakh,Thane,2018,Maruti
721,BMW X1,"98,000 km",Diesel,Automatic,Rs. 17.75 Lakh,Thane,2016,BMW
722,Mercedes-Benz GL-Class,"71,518 km",Diesel,Automatic,Rs. 35.5 Lakh,Thane,2015,Mercedes-Benz
723,Renault Kwid,"40,104 km",Petrol,AMT,Rs. 3.65 Lakh,Thane,2017,Renault
724,Honda Amaze,"33,100 km",Petrol,Manual,Rs. 4.25 Lakh,Thane,2016,Honda
725,Maruti Suzuki Celerio,"42,460 km",Petrol+CNG,Manual,Rs. 4.9 Lakh,Thane,2018,Maruti
726,Renault Duster,"32,147 km",Diesel,Manual,Rs. 5.75 Lakh,Thane,2015,Renault
727,Hyundai i20,"39,436 km",Petrol,Manual,Rs. 5.95 Lakh,Thane,2016,Hyundai
728,Tata Nexon,"32,535 km",Diesel,AMT,Rs. 7.65 Lakh,Thane,2018,Tata
729,Honda City,"43,620 km",Petrol,Automatic,Rs. 7.75 Lakh,Thane,2017,Honda
730,Maruti Suzuki Vitara Brezza,"49,313 km",Diesel,Manual,Rs. 7.75 Lakh,Thane,2018,Maruti
731,Tata Nexon,"41,125 km",Petrol,Manual,Rs. 9.45 Lakh,Thane,2019,Tata
732,Honda City,"33,889 km",Petrol,Automatic,Rs. 8.2 Lakh,Thane,2019,Honda
733,Maruti Suzuki Swift DZire,"67,944 km",Petrol,AMT,Rs. 3.95 Lakh,Thane,2012,Maruti
734,Ford EcoSport,"53,037 km",Petrol,Automatic,Rs. 5.1 Lakh,Thane,2014,Ford
735,Ford Freestyle,"50,873 km",Petrol,Manual,Rs. 5.45 Lakh,Thane,2018,Ford
736,Volkswagen Ameo,"50,013 km",Diesel,Manual,Rs. 6.25 Lakh,Thane,2016,Volkswagen
737,Maruti Suzuki Vitara Brezza,"70,638 km",Diesel,Manual,Rs. 7.9 Lakh,Thane,2019,Maruti
738,Hyundai Venue,"60,000 km",Petrol,Manual,Rs. 8.5 Lakh,Thane,2019,Hyundai
739,Hyundai Creta,"56,769 km",Petrol,Automatic,Rs. 8.55 Lakh,Thane,2016,Hyundai
740,Hyundai Creta,"59,478 km",Petrol,Manual,Rs. 8.55 Lakh,Thane,2017,Hyundai
741,Tata Nexon EV,"17,831 km",Electric,Automatic,Rs. 11.25 Lakh,Thane,2022,Tata
742,Kia Seltos,"58,246 km",Petrol,Automatic,Rs. 12.95 Lakh,Thane,2019,Kia
743,Toyota Innova Crysta,"59,088 km",Diesel,Manual,Rs. 22 Lakh,Thane,2021,Toyota
744,Honda City,"36,155 km",Petrol,Manual,Rs. 9.95 Lakh,Thane,2020,Honda
745,Nissan Terrano,"88,017 km",Diesel,Manual,Rs. 4.75 Lakh,Thane,2013,Nissan
746,Skoda Rapid,"78,107 km",Petrol,Automatic,Rs. 5.25 Lakh,Thane,2015,Skoda
747,Ford EcoSport,"66,129 km",Petrol,Automatic,Rs. 5.65 Lakh,Thane,2015,Ford
748,Maruti Suzuki Ciaz,"74,651 km",Diesel,Manual,Rs. 6.25 Lakh,Thane,2016,Maruti
749,Hyundai Verna,"52,215 km",Diesel,Automatic,Rs. 6.45 Lakh,Thane,2016,Hyundai
750,Toyota Corolla Altis,"63,503 km",Petrol,Automatic,Rs. 10.35 Lakh,Thane,2018,Toyota
751,Tata Nexon EV,"33,129 km",Electric,Automatic,Rs. 12.15 Lakh,Thane,2022,Tata
752,Volkswagen Vento,"60,030 km",Diesel,Manual,Rs. 3.95 Lakh,Thane,2012,Volkswagen
753,Skoda Rapid,"65,105 km",Petrol,Automatic,Rs. 5.95 Lakh,Thane,2016,Skoda
